test_case,MIP,Time,DP,Time,Greedy,Time,MetaH,Time
test_0,239541.11,0.08078384399414062,239541.11,0.006018400192260742,239204.18,0.0009975433349609375,239541.11,0.021906137466430664
test_1,114000.0,0.5238792896270752,114000.0,0.05207705497741699,228000.0,0.0010013580322265625,114000.0,0.8058216571807861
test_2,114366.26,0.71109938621521,114366.26,0.09674620628356934,53969.84,0.0019905567169189453,114366.26,0.6741652488708496
test_3,161955.45,0.5525617599487305,161955.45,0.10471487045288086,162861.66,0.0009663105010986328,161658.68,0.6940093040466309
test_4,252000.0,0.5236241817474365,252000.0,0.22739529609680176,144000.0,0.0009949207305908203,216000.0,0.5424351692199707
test_5,323950.7,0.5440170764923096,323950.7,6.458043813705444,144221.95,0.000980377197265625,291296.49,1.5481033325195312
test_6,138807.75,0.6118054389953613,138807.75,0.18753671646118164,34839.78,0.0029573440551757812,138807.75,0.6684439182281494
test_7,100829.06,0.626168966293335,100829.06,0.03686690330505371,91805.86,0.0029931068420410156,100829.06,0.7937960624694824
test_8,216000.0,0.5111522674560547,216000.0,0.11572408676147461,108000.0,0.0009982585906982422,216000.0,0.5699570178985596
test_9,88075.89,0.5447793006896973,88075.89,0.04484128952026367,69863.7,0.001994609832763672,70711.7,0.638298511505127
test_10,144942.73,0.499631404876709,144942.73,0.09877490997314453,29759.34,0.0009965896606445312,144942.73,0.5331683158874512
test_11,0.0,0.06083846092224121,0.0,0.0009975433349609375,11287.08,0.0,0.0,0.014992237091064453
test_20,13368.16,0.15753817558288574,13368.16,2.0249955654144287,11895.06,0.0,11918.47,0.27732253074645996
test_21,5547.29,0.16356325149536133,5547.29,0.4198746681213379,4162.96,0.000997304916381836,5547.29,0.40945911407470703
test_22,12600.0,0.16160893440246582,12600.0,4.372733116149902,12600.0,0.000997781753540039,12600.0,0.7475643157958984
test_23,12000.0,0.14261770248413086,12000.0,22.77685308456421,12000.0,0.0009989738464355469,12000.0,1.0011448860168457
test_24,14400.0,0.1476421356201172,14400.0,12.989418745040894,12800.0,0.0009980201721191406,12800.0,1.0531978607177734
test_25,10000.0,0.16147518157958984,10000.0,8.881638288497925,9000.0,0.0009970664978027344,9000.0,0.6044178009033203
test_26,7674.16,0.1596081256866455,7674.16,7.210716962814331,6098.01,0.0009975433349609375,6236.09,0.6093344688415527
test_27,9407.59,0.17752623558044434,9407.59,16.718223094940186,7525.33,0.0009970664978027344,8502.54,0.8905379772186279
test_28,5678.86,0.33011794090270996,5678.86,27.718647241592407,5475.21,0.0009975433349609375,5157.44,1.626678705215454
test_29,11200.0,0.15957379341125488,11200.0,0.9855422973632812,8000.0,0.0009951591491699219,11200.0,1.1808831691741943
test_30,13517.9,0.1865401268005371,13517.9,3.299316883087158,11528.82,0.0,11918.23,0.9484646320343018
test_31,10858.65,0.23189067840576172,10858.65,9.171778678894043,9497.71,0.0009975433349609375,10860.98,1.5452489852905273
test_32,12417.58,0.20998764038085938,12417.58,2.6442949771881104,9408.51,0.001995563507080078,11006.87,0.6782135963439941
test_33,10000.0,0.1984691619873047,10000.0,8.814181089401245,10000.0,0.0009996891021728516,10000.0,0.5714938640594482
test_34,12600.0,0.14926981925964355,12600.0,5.730056047439575,14000.0,0.0,12600.0,0.7499539852142334
test_35,15686.63,0.1575765609741211,15686.63,3.958423376083374,10621.31,0.0009984970092773438,14054.2,0.7988219261169434
test_36,15092.77,0.1834728717803955,15092.77,2.9608120918273926,13544.62,0.0,13679.11,0.8826422691345215
test_37,7822.42,0.14560842514038086,7822.42,2.866576910018921,7731.0,0.000997304916381836,6782.02,0.7896029949188232
test_38,18000.0,0.14978384971618652,18000.0,14.932880401611328,16200.0,0.0,16200.0,0.8651998043060303
test_39,14400.0,0.1486508846282959,14400.0,7.275052070617676,11200.0,0.0010008811950683594,14400.0,0.5727443695068359
test_40,7200.0,0.1398301124572754,7200.0,4.4106786251068115,4800.0,0.0009982585906982422,7200.0,0.7686576843261719
test_41,15241.95,0.16406965255737305,15241.95,3.5246500968933105,13631.86,0.0010318756103515625,12288.95,0.47574639320373535
test_42,12800.0,0.180556058883667,12800.0,2.8958232402801514,11200.0,0.0009949207305908203,12800.0,0.741077184677124
test_43,3200.0,0.1495647430419922,3200.0,1.4022495746612549,2400.0,0.0,2800.0,0.7696011066436768
test_44,16000.0,0.134901762008667,16000.0,8.51075029373169,12800.0,0.0,14400.0,0.7953906059265137
test_45,14400.0,0.14467096328735352,14400.0,6.632108688354492,16200.0,0.0009975433349609375,12600.0,0.6806850433349609
test_46,9073.01,0.15259051322937012,9073.01,2.0631444454193115,7907.27,0.0009961128234863281,6899.09,0.7972924709320068
test_47,10800.0,0.1875007152557373,10800.0,1.7303130626678467,14400.0,0.0,10800.0,1.2926297187805176
test_48,11856.54,0.22240233421325684,10608.51,0.5647027492523193,7883.75,0.0,10623.05,0.35498476028442383
test_49,12800.0,0.15558457374572754,12800.0,8.403500318527222,12800.0,0.000997304916381836,11200.0,0.741532564163208
